"Date","Close","Volume","Change","Ch(%)","Value(cr)","Trade","Open","High","Low"
"1748931621000","18.2","41685","-0.30","-1.62","0.0767","58","18.4","18.6","18.2"
"1748800800000","18.5","161627","0","0","0.29769999999999996","218","18.5","18.8","18.3"
"1748714400000","18.5","219018","-0.1999999999999993","-1.0695187165775364","0.40590000000000004","245","18.6","18.7","18.4"
"1748455200000","18.7","343285","0.1999999999999993","1.0810810810810774","0.6353","286","18.4","18.8","18.1"
"1748368800000","18.5","351210","-0.3000000000000007","-1.5957446808510676","0.6491","286","19","19.2","18.1"
"1748282400000","18.8","311727","-0.1999999999999993","-1.0526315789473648","0.5989","362","19.7","19.8","18.8"
"1748196000000","19","566889","0.5","2.7027027027027026","1.0718","416","18.7","19.5","18.6"
"1748109600000","18.5","178681","0","0","0.329","180","18.5","18.8","18.2"
"1748023200000","18.5","211375","-0.1999999999999993","-1.0695187165775364","0.3937","241","18.6","18.8","18.3"
"1747850400000","18.7","374731","-0.10000000000000142","-0.5319148936170288","0.7077","349","18.2","19.3","17.8"
"1747764000000","18.8","220371","0.3000000000000007","1.6216216216216255","0.41269999999999996","259","18.4","19","18.4"
"1747677600000","18.5","187621","0.3000000000000007","1.6483516483516523","0.34609999999999996","185","18.3","18.7","18.1"
"1747591200000","18.2","195653","0.09999999999999787","0.552486187845292","0.3552","245","18.2","18.4","17.9"
"1747504800000","18.1","374237","0","0","0.688","409","18.3","18.7","17.9"
"1747418400000","18.1","186001","0.20000000000000284","1.1173184357542059","0.3324","236","18.3","18.3","17.5"
"1747245600000","17.9","309672","-0.5","-2.717391304347826","0.5613","316","18.6","18.7","17.6"
"1747159200000","18.4","142349","-0.3000000000000007","-1.6042780748663141","0.2645","208","18.4","19","18.3"
"1747072800000","18.7","128640","-0.1999999999999993","-1.0582010582010546","0.2428","199","19.1","19.2","18.6"
"1746986400000","18.9","383059","-0.5","-2.577319587628866","0.7331000000000001","441","19.4","19.8","18.4"
"1746640800000","19.4","215036","0.8999999999999986","4.864864864864858","0.4145","247","18.2","19.6","18.2"
"1746554400000","18.5","462161","-1.3000000000000007","-6.565656565656569","0.8698","443","19.5","19.5","18.4"
"1746468000000","19.8","341007","-0.5999999999999979","-2.9411764705882253","0.6848","391","20.1","20.5","19.6"
"1746381600000","20.4","372103","-0.40000000000000213","-1.9230769230769333","0.7625","329","20.7","20.9","20.2"
"1746295200000","20.8","629885","1.4000000000000021","7.216494845360836","1.2712999999999999","635","19.7","20.9","19.5"
"1745949600000","19.4","283927","0.09999999999999787","0.5181347150258957","0.5524","319","19.1","19.7","19.1"
"1745863200000","19.3","258213","0.10000000000000142","0.5208333333333408","0.5009","420","19.2","19.7","19"
"1745776800000","19.2","408112","-0.6000000000000014","-3.0303030303030374","0.7891","697","20","20.1","19"
"1745690400000","19.8","686734","-0.8000000000000007","-3.883495145631071","1.3247","800","20.6","20.6","18.8"
"1745431200000","20.6","239396","-0.6999999999999993","-3.2863849765258184","0.5012","295","21.2","21.4","20.5"
"1745344800000","21.3","294082","0.10000000000000142","0.4716981132075539","0.6261","293","21.4","21.6","21.2"
"1745258400000","21.2","310573","-0.3000000000000007","-1.3953488372093057","0.6584","285","21.5","21.7","20.9"
"1745172000000","21.5","354236","-0.5","-2.272727272727273","0.7686","382","22","22.2","21.4"
"1745085600000","22","180700","-0.3000000000000007","-1.345291479820631","0.39849999999999997","240","22.3","22.4","21.9"
"1744826400000","22.3","198639","0.10000000000000142","0.45045045045045684","0.4422","187","22","22.5","22"
"1744740000000","22.2","276499","-0.10000000000000142","-0.44843049327354895","0.6154","315","22.3","22.7","22"
"1744653600000","22.3","441571","-0.8999999999999986","-3.87931034482758","1.0025","519","23.1","23.2","22.2"
"1744480800000","23.2","434307","-0.3000000000000007","-1.276595744680854","1.0125","384","23.8","23.8","23.1"
"1744221600000","23.5","404193","-0.10000000000000142","-0.423728813559328","0.9522","361","23.6","23.9","23.4"
"1744135200000","23.6","807859","0.10000000000000142","0.4255319148936231","1.9056000000000002","584","23.7","23.9","23.3"
"1744048800000","23.5","517095","-0.3000000000000007","-1.2605042016806753","1.2197","386","24","24","23.4"
"1743962400000","23.8","834659","0.10000000000000142","0.42194092827004825","1.9952","533","23.7","24.2","23.7"
"1743876000000","23.7","513003","-0.10000000000000142","-0.4201680672268967","1.2099","448","23.6","23.9","23.3"
"1743012000000","23.8","479222","-0.3000000000000007","-1.2448132780083017","1.1439","258","24.2","24.2","23.6"
"1742839200000","24.1","496669","0.5","2.11864406779661","1.1892","357","23.6","24.2","23.6"
